-0.5 	-1 	0.5 	437.534
-0.4375 	-1 	0.5 	460.6
-0.375 	-1 	0.5 	483.493
-0.3125 	-1 	0.5 	506.826
-0.25 	-1 	0.5 	527.469
-0.1875 	-1 	0.5 	548.034
-0.125 	-1 	0.5 	566.643
-0.0625 	-1 	0.5 	584.455
-1.61546e-17 	-1 	0.5 	598.7
0.0625 	-1 	0.5 	610.632
0.125 	-1 	0.5 	619.992
0.1875 	-1 	0.5 	625.868
0.25 	-1 	0.5 	629.311
0.3125 	-1 	0.5 	631
0.375 	-1 	0.5 	628.096
0.4375 	-1 	0.5 	623.284
0.5 	-1 	0.5 	614.868
0.5625 	-1 	0.5 	604.859
0.625 	-1 	0.5 	592.977
0.6875 	-1 	0.5 	579.342
0.75 	-1 	0.5 	566.375
0.8125 	-1 	0.5 	547.742
0.875 	-1 	0.5 	531.337
0.9375 	-1 	0.5 	512.682
1 	-1 	0.5 	493.162
1.0625 	-1 	0.5 	476.109
1.125 	-1 	0.5 	457.127
1.1875 	-1 	0.5 	437.404
1.25 	-1 	0.5 	418.649
1.3125 	-1 	0.5 	399.981
1.375 	-1 	0.5 	382.686
1.4375 	-1 	0.5 	365.301
-0.5 	-0.9375 	0.5 	446.65
-0.4375 	-0.9375 	0.5 	471.669
-0.375 	-0.9375 	0.5 	497.297
-0.3125 	-0.9375 	0.5 	522.601
-0.25 	-0.9375 	0.5 	545.116
-0.1875 	-0.9375 	0.5 	569.948
-0.125 	-0.9375 	0.5 	592.646
-0.0625 	-0.9375 	0.5 	611.34
6.80662e-16 	-0.9375 	0.5 	627.167
0.0625 	-0.9375 	0.5 	641.636
0.125 	-0.9375 	0.5 	650.936
0.1875 	-0.9375 	0.5 	657.56
0.25 	-0.9375 	0.5 	662.388
0.3125 	-0.9375 	0.5 	660.983
0.375 	-0.9375 	0.5 	658.895
0.4375 	-0.9375 	0.5 	652.443
0.5 	-0.9375 	0.5 	643.432
0.5625 	-0.9375 	0.5 	632.256
0.625 	-0.9375 	0.5 	618.876
0.6875 	-0.9375 	0.5 	603.978
0.75 	-0.9375 	0.5 	586.012
0.8125 	-0.9375 	0.5 	568.503
0.875 	-0.9375 	0.5 	548.459
