train_loss, val_loss
0.001352148767007372,0.0005153004165212796
0.00048048067787531207,0.00036089637185257204
0.00038901128361068445,0.0003911819866280658
0.0003400887877240196,0.0003874029887676308
0.0003110849055974505,0.0002669054658596266
0.0002898647441689975,0.00027033729970248207
0.00027736573445997554,0.00028310375831400354
0.0002600294030958148,0.00022760278912351673
0.0002547245841449962,0.0002274839816015662
0.00024341170603867787,0.00021400013130106445
0.00023780704634570517,0.00020431988434413344
0.0002328222806790008,0.00022221667453844996
0.00022275799163791907,0.00020750253375067756
0.0002186586077261853,0.0002129956506973098
0.00021700690817586877,0.00018573925893482132
0.00020588221526228505,0.00018013538119029599
0.00020590095325190272,0.00020893027367829172
0.00020207539222465528,0.00020430739551321257
0.0001955798412064863,0.00022194799789253416
0.0001919180004894916,0.00018802982066753665
0.00019122082682717273,0.00017527354416584044
0.00018583619046838064,0.00017313706139921798
0.00018081096826496088,0.0001746110366420234
0.00017780480522320804,0.00016393021548908478
0.0001746552933204183,0.0001845221447217261
0.00017096141465057998,0.00016964696540661088
0.0001680383573719014,0.0001796142147752646
0.00016593245493826106,0.00016323392294537
0.00016027053952050288,0.00016929432240431197
0.00015818611730010894,0.0001599008773929974
0.0001549696922195824,0.00016566637498693093
0.00015152224775996946,0.0001520131955826569
0.0001481475149788153,0.00016301377876920417
0.00014715848106560702,0.00016809027477359418
0.00014340905011365552,0.00015407896401787487
0.00014159917202732062,0.0001501434212480456
0.00013909054473079706,0.00016599894351438033
0.00013654209249236568,0.00016147012751456782
0.0001342869449268195,0.00016632882269968158
0.00013146952954745466,0.00016374021865043755
0.00012987521887024064,0.0001614908089255483
0.00012665621804096308,0.00016439280325020837
0.00012577435828199461,0.0001753706035001583
0.000124470110408166,0.00014418139621233826
0.00012051046589916385,0.00015392512205936429
0.00011997492344665993,0.0001426875906165353
0.00011749398492350287,0.00014009462531787534
0.00011432859885811393,0.00014090762695694273
0.00011337450436226922,0.00014804674967847488
0.00011303524943902243,0.00014724330708472904
0.00010861370702223653,0.0001523505341336002
0.00010716987592409224,0.0001386368358470025
0.00010756177909757489,0.00014181611310319837
0.00010466708381397062,0.00014528111470874002
0.00010350625758494184,0.00014755431321747083
0.00010188655750058398,0.0001323485431553477
0.00010260606501500042,0.0001500056334205308
9.910453055864235e-05,0.00014397507522382377
9.755901760568817e-05,0.000140439568672769
9.687083315922705e-05,0.00013250788425567508
9.599161352074686e-05,0.00013844578565180268
9.365682109654777e-05,0.00014285544918190378
9.160163634968988e-05,0.00013523633851609366
9.427041750762114e-05,0.00013208997169621633
8.99053551258364e-05,0.0001340631716394219
8.882995383153433e-05,0.0001362356999716549
8.935507138010818e-05,0.00014244137813942937
8.700827480068379e-05,0.00013126314319109682
8.754282631513831e-05,0.00013002833530427544
8.437517371639216e-05,0.0001406825491425547
8.519967720819448e-05,0.0001300953553490453
8.393204379483388e-05,0.00013413595475463404
8.269798548280106e-05,0.00013792535216823495
8.147346884009992e-05,0.0001280311391450663
8.028818185884047e-05,0.00012417232664355888
7.967195499523951e-05,0.00012829495859073683
7.808075632896835e-05,0.00013603074492291652
7.730541192070834e-05,0.0001423193687110648
7.703632401253867e-05,0.00012618131349208177
7.506431178716005e-05,0.00014548348684642137
7.512789515967284e-05,0.00012375363481556567
7.43204123372855e-05,0.00012597398715486095
7.239065689859353e-05,0.0001318855635569586
7.153347073211172e-05,0.00012569466498798984
7.103371915794376e-05,0.00012054615749716672
7.055230134159072e-05,0.00012511991249252957
6.890475518076433e-05,0.00012550729898740194
6.87926280951557e-05,0.00012449127387770677
6.945409656584633e-05,0.00011919566037519231
6.920327090687078e-05,0.0001324878091205998
6.785265828998491e-05,0.00012188937992808254
6.606927635771675e-05,0.00011767187071974924
6.522639434082824e-05,0.00011954791528599648
6.630855474792665e-05,0.00012734663528303996
6.365877378618863e-05,0.0001188024674572969
6.980578087097231e-05,0.0001205472405099836
6.101041191219942e-05,0.00011915416236189668
6.159375627265026e-05,0.000119211217693023
6.185627415969053e-05,0.00011841300777935734
